Player,Price,Role
Virat Kohli,17.0,Batsman
Rajat Patidar,0.2,Batsman
Suyash Prabhudessai,0.2,Batsman
Sachin Baby,0.2,Batsman
Devdutt Padikkal,0.2,Batsman
AB de Villiers,11.0,Batsman
Mohammed Azharuddin,0.2,Batsman
Finn Allen,0.2,Batsman
KS Bharat,0.2,Batsman
Shahbaz Ahamad,0.2,All Rounder
Glenn Maxwell,14.25,All Rounder
Washington Sundar,3.2,All Rounder
Pavan Deshpande,0.2,All Rounder
Daniel Christian,4.8,All Rounder
Wanindu Hasaranga,0.5,All Rounder
Tim David,0.2,All Rounder
Daniel Sams,0.3,All Rounder
Navdeep Saini,3.0,Bowler
Yuzvendra Chahal,6.0,Bowler
Mohammed Siraj,2.6,Bowler
Kane Richardson,4.0,Bowler
Kyle Jamieson,15.0,Bowler
Harshal Patel,0.2,Bowler
Dushmantha Chameera,0.5,Bowler
George Garton,0.2,Bowler
Rohit Sharma,15.0,Batsman
Saurabh Tiwary,0.3,Batsman
Suryakumar Yadav,3.2,Batsman
Anmolpreet Singh,0.8,Batsman
Chris Lynn,2.0,Batsman
Ishan Kishan,6.2,Batsman
Aditya Tare,0.2,Batsman
Quinton De Kock,2.8,Batsman
Hardik Pandya,11.0,All Rounder
Krunal Pandya,8.8,All Rounder
Anukul Roy,0.2,All Rounder
Arjun Tendulkar,0.2,All Rounder
James Neesham,0.5,All Rounder
Jayant Yadav,0.5,All Rounder
Kieron Pollard,5.4,All Rounder
Nathan Coulter-Nile,5.0,All Rounder
Yudhvir Singh,0.2,All Rounder
Trent Boult,3.2,Bowler
Adam Milne,3.2,Bowler
Marco Jansen,0.2,Bowler
Mohsin Khan,0.2,Bowler
Dhawal Kulkarni,0.75,Bowler
Jasprit Bumrah,7.0,Bowler
Piyush Chawla,2.4,Bowler
Rahul Chahar,1.9,Bowler
Suresh Raina,11.0,Batsman
Ambati Rayudu,2.2,Batsman
Faf du Plessis,1.6,Batsman
Ruturaj Gaikwad,0.2,Batsman
Cheteshwar Pujara,0.5,Batsman
C Hari Nishanth,0.2,Batsman
Mahendra Singh Dhoni,15.0,Batsman
Robin Uthappa,1.5,Batsman
N Jagadeesan,0.2,Batsman
Karn Sharma,5.0,All Rounder
Dwayne Bravo,6.4,All Rounder
Ravindra Jadeja,7.0,All Rounder
Sam Curran,5.5,All Rounder
Moeen Ali,7.0,All Rounder
K Gowtham,9.25,All Rounder
Harishankar Reddy,0.2,Bowler
Bhagath Varma,0.2,Bowler
Lungi Ngidi,0.5,Bowler
Mitchell Santner,0.5,Bowler
KM Asif,0.4,Bowler
Deepak Chahar,0.8,Bowler
Imran Tahir,1.0,Bowler
Shardul Thakur,2.6,Bowler
R Sai Kishore,0.2,Bowler
Shikhar Dhawan,5.2,Batsman
Steve Smith,2.2,Batsman
Ripal Patel,0.2,Batsman
Prithvi Shaw,1.2,Batsman
Ajinkya Rahane,5.25,Batsman
Shimron Hetmyer,7.75,Batsman
Sam Billings,2.0,Batsman
Rishabh Pant,15.0,Batsman
Vishnu Vinod,0.2,Batsman
Tom Curran,5.25,All Rounder
Marcus Stoinis,4.8,All Rounder
Chris Woake,1.5,All Rounder
Axar Patel,5.0,All Rounder
Lalit Yadav,0.2,All Rounder
M Siddarth,0.2,Bowler
Pravin Dubey,0.1,Bowler
Kagiso Rabada,4.2,Bowler
Anrich Nortje,0.3,Bowler
Avesh Khan,0.7,Bowler
Umesh Yadav,1.0,Bowler
R Ashwin,7.6,Bowler
Amit Mishra,4.0,Bowler
Ishant Sharma,1.1,Bowler
Lukman Meriwala,0.2,Bowler
Mayank Agarwal,1.0,Batsman
Chris Gayle,2.0,Batsman
Nicholas Pooran,4.2,Batsman
Sarfaraz Khan,0.25,Batsman
Dawid Malan,1.5,Batsman
Shahrukh Khan,5.25,Batsman
KL Rahul,11.0,Batsman
Prabsimran Singh,0.55,Batsman
Mandeep Singh,1.4,All Rounder
Moises Henriques,4.2,All Rounder
Jalaj Saxena,0.3,All Rounder
Utkarsh Singh,20.0,All Rounder
Deepak Hooda,0.5,All Rounder
Fabian Allen,0.75,All Rounder
Adil Rashid,1.5,Bowler
Nathan Ellis,0.2,Bowler
Chris Jordan,3.0,Bowler
Jhye Richardson,14.0,Bowler
Riley Meredith,8.0,Bowler
Ishan Porel,0.2,Bowler
Darshan Nalkande,0.3,Bowler
Murugan Ashwin,0.2,Bowler
Ravi Bishnoi,2.0,Bowler
Harpreet Brar,0.2,Bowler
Mohammed Shami,4.8,Bowler
Arshdeep Singh,0.2,Bowler
Saurabh Kumar,0.2,Bowler
Nitish Rana,3.4,Batsman
Rinku Singh,0.5,Batsman
Karun Nair,0.5,Batsman
Eoin Morgan,5.25,Batsman
Shubman Gill,1.8,Batsman
Rahul Tripathi,0.6,Batsman
Tim Seifert,0.5,Batsman
Dinesh Karthik,7.4,Batsman
Sheldon Jackson,0.2,Batsman
Andre Russell,8.5,All Rounder
Sunil Narine,12.5,All Rounder
Shakib Al Hasan,3.2,All Rounder
Ben Cutting,0.75,All Rounder
Venkatesh Iyer,0.2,All Rounder
Pawan Negi,0.5,All Rounder
Harbhajan Singh,2.0,Bowler
Sandeep Warrier,0.2,Bowler
Prasidh Krishna,0.2,Bowler
Varun Chakravarthy,4.0,Bowler
Vaibhav Arora,0.2,Bowler
Kamlesh Nagarkoti,3.2,Bowler
Kuldeep Yadav,5.8,Bowler
Shivam Mavi,3.0,Bowler
Lockie Ferguson,1.6,Bowler
Pat Cummins,15.5,Bowler
Tim Southee,0.75,Bowler
Yashasvi Jaiswal,2.4,Batsman
Manan Vohra,0.2,Batsman
Riyan Parag,0.2,Batsman
David Miller,0.75,Batsman
Sanju Samson,8.0,Batsman
Jos Buttler,4.4,Batsman
Anuj Rawat,0.8,Batsman
Glen Phillips,0.5,Batsman
Chris Morris,16.25,All Rounder
Shivam Dube,4.4,All Rounder
Ben Stokes,12.5,All Rounder
Rahul Tewatia,3.0,All Rounder
Mahipal Lomror,0.2,All Rounder
Shreyas Gopal,0.2,All Rounder
Liam Livingstone,0.75,Bowler
Kuldip Yadav,0.2,Bowler
Andrew Tye,1.0,Bowler
Mustafizur Rahman,1.0,Bowler
Jaydev Unadkat,3.0,Bowler
Kartik Tyagi,1.3,Bowler
Mayank Markande,2.0,Bowler
Jofra Archer,7.2,Bowler
Chetan Sakariya,1.2,Bowler
KC Cariappa,1.2,Bowler
Akash Singh,0.2,Bowler
Tabraiz Shamsi,0.5,Bowler
David Warner,12.5,Batsman
Kane Williamson,3.0,Batsman
Virat Singh,1.9,Batsman
Manish Pandey,11.0,Batsman
Priyam Garg,1.9,Batsman
Jason Roy,2.0,Batsman
Wriddhiman Saha,1.2,Batsman
Jonny Bairstow,2.2,Batsman
Sreevats Goswami,1.0,Batsman
Kedar Jadhav,2.0,All Rounder
J Suchit,0.3,All Rounder
Jason Holder,0.75,All Rounder
Abhishek Sharma,0.55,All Rounder
Abdul Samad,0.2,All Rounder
Vijay Shankar,3.2,All Rounder
Mohammad Nabi,2.0,All Rounder
Rashid Khan,9.0,Bowler
T Natarajan,0.4,Bowler
Sandeep Sharma,3.0,Bowler
Bhuvneshwar Kumar,0.09,Bowler
Khaleel Ahmed,3.0,Bowler
Siddharth Kaul,3.8,Bowler
Basil Thampi,0.95,Bowler
Shahbaz Nadeem,3.2,Bowler
Mujeeb ur Rahman,1.5,Bowler
