Virat Kohli (R)(C)	Batsman	17 crores
Rajat Patidar	Batsman	20 lakhs
Suyash Prabhudessai	Batsman	20 lakhs
Sachin Baby (R)	Batsman	20 lakhs
Devdutt Padikkal (R)	Batsman	20 lakhs
AB de Villiers (R)	Batsman / Wicket-keeper	11 crores
Mohammed Azharuddin	Batsman / Wicket-keeper	20 lakhs
Finn Allen (R)	Batsman / Wicket-keeper	20 lakhs
KS Bharat	Batsman / Wicket-keeper	20 lakhs
Shahbaz Ahamad (R)	All Rounder	20 lakhs
Glenn Maxwell	All Rounder	14.25 crores
Washington Sundar (R)	All Rounder	3.2 crores
Pavan Deshpande (R)	All Rounder	20 lakhs
Daniel Christian	All Rounder	4.8 crores
Wanindu Hasaranga	All Rounder	50 lakhs
Tim David	All Rounder	20 lakhs
Daniel Sams	All Rounder	30 lakhs
Navdeep Saini (R)	Bowler	3 crores
Yuzvendra Chahal (R)	Bowler	6 crores
Mohammed Siraj (R)	Bowler	2.6 crores
Kane Richardson (R)	Bowler	4 crores
Kyle Jamieson	Bowler	15 crores
Harshal Patel	Bowler	20 lakhs
Dushmantha Chameera	Bowler	50 lakhs
George Garton	Bowler	20 lakhs
Rohit Sharma (R)(C)	Batsman	15 crores
Saurabh Tiwary	Batsman	30 lakhs
Suryakumar Yadav (R)	Batsman	3.2 crores
Anmolpreet Singh	Batsman	80 lakhs
Chris Lynn (R)	Batsman	2 crores
Ishan Kishan (R)	Batsman	6.2 crores
Aditya Tare (R)	Batsman / Wicket-keeper	20 lakhs
Quinton De Kock (R)	Batsman / Wicket-keeper	2.8 crores
Hardik Pandya (R)	All Rounder	11 crores
Krunal Pandya (R)	All Rounder	8.8 crores
Anukul Roy	All Rounder	20 lakhs
Arjun Tendulkar	All Rounder	20 lakhs
James Neesham (R)	All Rounder	50 lakhs
Jayant Yadav (R)	All Rounder	50 lakhs
Kieron Pollard (R)	All Rounder	5.4 crores
Nathan Coulter-Nile (R)	All Rounder	5 crores
Yudhvir Singh	All Rounder	20 lakhs
Trent Boult (R)	Bowler	3.2 crores
Adam Milne (R)	Bowler	3.2 crores
Marco Jansen	Bowler	20 lakhs
Mohsin Khan	Bowler	20 lakhs
Dhawal Kulkarni	Bowler	75 lakhs
Jasprit Bumrah (R)	Bowler	7 crores
Piyush Chawla	Bowler	2.4 crores
Rahul Chahar (R)	Bowler	1.9 crores
Suresh Raina (R)	Batsman	11 crores
Ambati Rayudu (R)	Batsman	2.20 crores
Faf du Plessis (R)	Batsman	1.6 crores
Ruturaj Gaikwad	Batsman	20 lakhs
Cheteshwar Pujara	Batsman	50 lakhs
C Hari Nishanth	Batsman	20 lakhs
Mahendra Singh Dhoni (R)(C)	Batsman / Wicket-keeper	15 crores
Robin Uthappa	Batsman / Wicket-keeper	1.5 crores
N Jagadeesan	Batsman / Wicket-keeper	20 lakhs
Karn Sharma (R)	All Rounder	5 crores
Dwayne Bravo (R)	All Rounder	6.4 crores
Ravindra Jadeja (R)	All Rounder	7 crores
Sam Curran (R)	All Rounder	5.50 crores
Moeen Ali (R)	All Rounder	7 crores
K Gowtham	All Rounder	9.25 crores
Harishankar Reddy	Bowler	20 lakhs
Bhagath Varma	Bowler	20 lakhs
Lungi Ngidi (R)	Bowler	50 lakhs
Mitchell Santner (R)	Bowler	50 lakhs
KM Asif (R)	Bowler	40 lakhs
Deepak Chahar (R)	Bowler	80 lakhs
Imran Tahir (R)	Bowler	1 crore
Shardul Thakur (R)	Bowler	2.6 crores
R Sai Kishore	Bowler	20 lakhs
Shikhar Dhawan(R)	Batsman	5.2 crores
Steve Smith	Batsman	2.2 crores
Ripal Patel	Batsman	20 lakhs
Prithvi Shaw (R)	Batsman	1.2 crores
Ajinkya Rahane(R)	Batsman	5.25 crores
Shimron Hetmyer(R)	Batsman	7.75 crores
Sam Billings(R)	Batsman	2 crores
Rishabh Pant (R)(C)	Batsman / Wicket-keeper	15 crores
Vishnu Vinod	Batsman / Wicket-keeper	20 lakhs
Tom Curran (R)	All Rounder	5.25 crores
Marcus Stoinis (R)	All Rounder	4.8 crores
Chris Woake	All Rounder	1.5 crores
Axar Patel(R)	All Rounder	5 crores
Lalit Yadav	All Rounder	20 lakhs
M Siddarth	Bowler	20 lakhs
Pravin Dubey	Bowler	10 lakhs
Kagiso Rabada (R)	Bowler	4.2 crores
Anrich Nortje (R)	Bowler	30 lakhs
Avesh Khan (R)	Bowler	70 lakhs
Umesh Yadav (R)	Bowler	1 crore
R Ashwin (R)	Bowler	7.6 crores
Amit Mishra (R)	Bowler	4 crores
Ishant Sharma (R)	Bowler	1.1 crores
Lukman Meriwala	Bowler	20 lakhs
Mayank Agarwal (R)	Batsman	1 crore
Chris Gayle	Batsman	2 crores
Nicholas Pooran (R)	Batsman	4.2 crores
Sarfaraz Khan (R)	Batsman	25 lakhs
Dawid Malan	Batsman	1.5 crores
Shahrukh Khan	Batsman	5.25 crores
KL Rahul (R)(C)	Batsman / Wicket-keeper	11 crores
Prabsimran Singh (R)	Batsman / Wicket-keeper	55 lakhs
Mandeep Singh (R)	All Rounder	1.4 crores
Moises Henriques	All Rounder	4.2 crores
Jalaj Saxena	All Rounder	30 lakhs
Utkarsh Singh	All Rounder	20 Lakhs
Deepak Hooda (R)	All Rounder	50 lakhs
Fabian Allen	All Rounder	75 lakhs
Adil Rashid	Bowler	1.5 crores
Nathan Ellis	Bowler	20 lakhs
Chris Jordan (R)	Bowler	3 crores
Jhye Richardson	Bowler	14 crores
Riley Meredith	Bowler	8 crores
Ishan Porel (R)	Bowler	20 lakhs
Darshan Nalkande (R)	Bowler	30 lakhs
Murugan Ashwin (R)	Bowler	20 lakhs
Ravi Bishnoi (R)	Bowler	2 crores
Harpreet Brar (R)	Bowler	20 lakhs
Mohammed Shami (R)	Bowler	4.8 crores
Arshdeep Singh (R)	Bowler	20 lakhs
Saurabh Kumar	Bowler	20 lakhs
Nitish Rana (R)	Batsman	3.4 crores
Rinku Singh (R)	Batsman	50 lakhs
Karun Nair	Batsman	50 lakhs
Eoin Morgan (R)(C)	Batsman	5.25 crores
Shubman Gill (R)	Batsman	1.8 crores
Rahul Tripathi (R)	Batsman	60 lakhs
Tim Seifert	Batsman / Wicket-keeper	50 lakhs
Dinesh Karthik (R)	Batsman / Wicket-keeper	7.4 crores
Sheldon Jackson	Batsman / Wicket-keeper	20 lakhs
Andre Russell (R)	All Rounder	8.5 crores
Sunil Narine (R)	All Rounder	12.5 crores
Shakib Al Hasan (R)	All Rounder	3.2 crores
Ben Cutting	All Rounder	75 lakhs
Venkatesh Iyer	All Rounder	20 lakhs
Pawan Negi	All Rounder	50 lakhs
Harbhajan Singh	Bowler	2 crores
Sandeep Warrier (R)	Bowler	20 lakhs
Prasidh Krishna (R)	Bowler	20 lakhs
Varun Chakravarthy (R)	Bowler	4 crores
Vaibhav Arora	Bowler	20 lakhs
Kamlesh Nagarkoti (R)	Bowler	3.2 crores
Kuldeep Yadav (R)	Bowler	5.8 crores
Shivam Mavi (R)	Bowler	3 crores
Lockie Ferguson (R)	Bowler	1.6 crores
Pat Cummins (R)	Bowler	15.5 crores
Tim Southee	Bowler	75 lakhs
Yashasvi Jaiswal (R)	Batsman	2.4 crores
Manan Vohra (R)	Batsman	20 lakhs
Riyan Parag (R)	Batsman	20 lakhs
David Miller (R)	Batsman	75 lakhs
Sanju Samson (R) (C)	Batsman / Wicket-keeper	8 crores
Jos Buttler (R)	Batsman / Wicket-keeper	4.4 crores
Anuj Rawat (R)	Batsman / Wicket-keeper	80 lakhs
Glen Phillips	Batsman / Wicket-keeper	50 lakhs
Chris Morris	All Rounder	16.25 crores
Shivam Dube	All Rounder	4.4 crores
Ben Stokes (R)	All Rounder	12.5 crores
Rahul Tewatia (R)	All Rounder	3 crores
Mahipal Lomror (R)	All Rounder	20 lakhs
Shreyas Gopal (R)	All Rounder	20 lakhs
Liam Livingstone	Bowler	75 lakhs
Kuldip Yadav	Bowler	20 lakhs
Andrew Tye (R)	Bowler	1 crore
Mustafizur Rahman	Bowler	1 crore
Jaydev Unadkat (R)	Bowler	3 crores
Kartik Tyagi (R)	Bowler	1.3 crores
Mayank Markande (R)	Bowler	2 crores
Jofra Archer (R)	Bowler	7.2 crores
Chetan Sakariya	Bowler	1.2 crores
KC Cariappa	Bowler	1.2 crores
Akash Singh	Bowler	20 lakhs
Tabraiz Shamsi	Bowler	50 lakhs
David Warner (R)(C)	Batsman	12.5 crores
Kane Williamson (R)	Batsman	3 crores
Virat Singh (R)	Batsman	1.9 crores
Manish Pandey (R)	Batsman	11 crores
Priyam Garg	Batsman	1.9 crores
Jason Roy	Batsman	2 crores
Wriddhiman Saha (R)	Batsman / Wicket-keeper	1.2 crores
Jonny Bairstow (R)	Batsman / Wicket-keeper	2.2 crores
Sreevats Goswami	Batsman / Wicket-keeper	1 crore
Kedar Jadhav	All Rounder	2 crores
J Suchit	All Rounder	30 lakhs
Jason Holder (R)	All Rounder	75 lakhs
Abhishek Sharma	All Rounder	55 lakhs
Abdul Samad (R)	All Rounder	20 lakhs
Vijay Shankar (R)	All Rounder	3.2 crores
Mohammad Nabi (R)	All Rounder	2 crores
Rashid Khan (R)	Bowler	9 crores
T Natarajan (R)	Bowler	40 lakhs
Sandeep Sharma (R)	Bowler	3 crores
Bhuvneshwar Kumar (R)	Bowler	8.50 lakhs
Khaleel Ahmed (R)	Bowler	3 crores
Siddharth Kaul (R)	Bowler	3.8 crores
Basil Thampi (R)	Bowler	95 lakhs
Shahbaz Nadeem	Bowler	3.2 crores
Mujeeb ur Rahman (R)	Bowler	1.5 crores